Country,Continent,Capital City,Abbreviation,Fact 1,Fact 1 Source,Fact 2,Fact 2 Source,Fact 3,Fact 3 Source,Fact 4,Fact 4 Source,Fact 5,Fact 5 Source,Fact 6,Fact 6 Source,Fact 7,Fact 7 Source,Fact 8,Fact 8 Source,Fact 9,Fact 9 Source,Fact 10,Fact 10 Source
Afghanistan,Asia,Kabul,AFG,The world's first oil paintings were not made in Renaissance Europe but in the caves of Bamiyan around the 7th century AD.,https://en.wikipedia.org/wiki/Bamyan_caves,"The national sport is buzkashi, a game played on horseback where players try to place a goat or calf carcass in a goal.",https://en.wikipedia.org/wiki/Buzkashi,"The Wakhan Corridor is a narrow strip of land that connects the country to China, and it was historically part of the Silk Road.",https://en.wikipedia.org/wiki/Wakhan_Corridor,"The Minaret of Jam, a UNESCO World Heritage Site, is one of the few surviving monuments from the Ghurid Empire and stands at 65 meters tall.",https://en.wikipedia.org/wiki/Minaret_of_Jam,"The country is home to the world's largest Buddhas, the Buddhas of Bamiyan, which were destroyed in 2001 but remain a symbol of cultural heritage.",https://en.wikipedia.org/wiki/Buddhas_of_Bamiyan,"The Khyber Pass, a historically significant trade route, has been a strategic military location for centuries.",https://en.wikipedia.org/wiki/Khyber_Pass,"The country has a unique breed of dog known as the Afghan Hound, known for its distinctive appearance and long, flowing coat.",https://en.wikipedia.org/wiki/Afghan_Hound,"The Rubab, a traditional musical instrument, is often considered the national instrument and is known for its deep, melodious sound.",https://en.wikipedia.org/wiki/Rubab_(instrument),"The country has a rich tradition of poetry, with poets like Rumi and Khushal Khan Khattak being celebrated figures.",https://en.wikipedia.org/wiki/Afghan_poetry,"The Pamir Mountains, also known as the 'Roof of the World,' are located in the northeastern part of the country and are known for their stunning landscapes.",https://en.wikipedia.org/wiki/Pamir_Mountains
Albania,Europe,Tirana,ALB,"The country is home to the Albanian Riviera, which is known for its stunning beaches and vibrant nightlife.",https://en.wikipedia.org/wiki/Albanian_Riviera,"The country has a unique tradition of sworn virgins, where women take a vow of chastity and live as men to gain social privileges.",https://en.wikipedia.org/wiki/Sworn_virgins,The country is one of the few places in Europe where you can find wild bears and wolves.,https://en.wikipedia.org/wiki/Wildlife_of_Albania,"The country has a rich tradition of polyphonic singing, which is recognized by UNESCO as an intangible cultural heritage.",https://en.wikipedia.org/wiki/Albanian_iso-polyphony,"The country is home to the ancient city of Butrint, a UNESCO World Heritage Site with ruins dating back to Greek and Roman times.",https://en.wikipedia.org/wiki/Butrint,"The country has a unique bunkers landscape, with over 173,000 bunkers built during the communist era.",https://en.wikipedia.org/wiki/Bunkers_in_Albania,"The country has a tradition of hospitality known as 'Besa,' which is a code of honor that emphasizes trust and respect.",https://en.wikipedia.org/wiki/Besa_(honour),The country is one of the few places where the endangered Balkan lynx can be found.,https://en.wikipedia.org/wiki/Balkan_lynx,"The country has a unique form of folk dance called 'Valle,' which is characterized by its lively and energetic movements.",https://en.wikipedia.org/wiki/Albanian_folk_dances,"The country is home to the Lake of Shkodër, the largest lake in Southern Europe.",https://en.wikipedia.org/wiki/Lake_Shkodra
Algeria,Africa,Algiers,DZA,The Sahara Desert covers more than 80% of the country's land area.,https://en.wikipedia.org/wiki/Algeria#Geography,"The national animal is the fennec fox, a small nocturnal fox with large ears.",https://en.wikipedia.org/wiki/Algeria#Symbols,"It is home to the Tassili n'Ajjer, a UNESCO World Heritage site known for its prehistoric rock art.",https://en.wikipedia.org/wiki/Tassili_n%27Ajjer,The country has one of the largest natural gas reserves in the world.,https://en.wikipedia.org/wiki/Algeria#Economy,"The Ahaggar Mountains, also known as the Hoggar, are a highland region in the central part of the country.",https://en.wikipedia.org/wiki/Hoggar_Mountains,"The national dish is couscous, a North African staple made from steamed semolina.",https://en.wikipedia.org/wiki/Algerian_cuisine,"The country has a unique music style called Raï, which originated in the 1920s.",https://en.wikipedia.org/wiki/Ra%C3%AF,The Casbah of Algiers is a famous historic medina and UNESCO World Heritage site.,https://en.wikipedia.org/wiki/Casbah_of_Algiers,"The country has a rich history of Roman ruins, including the well-preserved city of Timgad.",https://en.wikipedia.org/wiki/Timgad,The Aures Mountains are known for their unique Berber culture and traditions.,https://en.wikipedia.org/wiki/Aures
Angola,Africa,Luanda,AGO,"The Giant Sable Antelope, a rare and majestic animal, is found only in this country.",https://en.wikipedia.org/wiki/Giant_sable_antelope,"The country is home to the Welwitschia plant, which can live for over 1,000 years and is considered a living fossil.",https://en.wikipedia.org/wiki/Welwitschia,"The country has a unique dance and music genre called Kuduro, which originated in the late 1980s.",https://en.wikipedia.org/wiki/Kuduro,"The country has one of the largest waterfalls in Africa, the Kalandula Falls, which is 105 meters high and 400 meters wide.",https://en.wikipedia.org/wiki/Kalandula_Falls,"The country is known for its traditional dish called Moamba de Galinha, a chicken stew made with palm oil and okra.",https://en.wikipedia.org/wiki/Moamba_de_galinha,"The country has a desert called the Namib Desert, which is one of the oldest deserts in the world.",https://en.wikipedia.org/wiki/Namib_Desert,"The country has a unique rock formation known as the Pedras Negras de Pungo Andongo, which are large black rocks with mysterious origins.",https://en.wikipedia.org/wiki/Pedras_Negras_de_Pungo_Andongo,"The country has a rich tradition of storytelling and oral literature, with tales often featuring animals and mythical creatures.",https://en.wikipedia.org/wiki/Angolan_literature,"The country is home to the Cuito Cuanavale, a site of a major battle during the Angolan Civil War, which is considered one of the largest battles in Africa since World War II.",https://en.wikipedia.org/wiki/Battle_of_Cuito_Cuanavale,"The country has a unique festival called Festas Juninas, which is celebrated with traditional music, dance, and food in June.",https://en.wikipedia.org/wiki/Festas_Juninas
Argentina,S. America,Buenos Aires,ARG,"The country is home to the world's southernmost city, Ushuaia, which is often referred to as the 'End of the World'.",https://en.wikipedia.org/wiki/Ushuaia,"It is the birthplace of the first animated feature film, 'El Apóstol', created in 1917.",https://en.wikipedia.org/wiki/El_Ap%C3%B3stol,"The country has a Welsh-speaking community in the region of Patagonia, where Welsh traditions and language are preserved.",https://en.wikipedia.org/wiki/Welsh_settlement_in_Argentina,"It is known for having the widest avenue in the world, Avenida 9 de Julio, which spans 140 meters across.",https://en.wikipedia.org/wiki/9_de_Julio_Avenue,"The country is home to the world's first-ever human heart transplant recipient who survived for more than a month, performed by Dr. René Favaloro.",https://en.wikipedia.org/wiki/Ren%C3%A9_Favaloro,"It has a national sport called Pato, which is a unique blend of polo and basketball played on horseback.",https://en.wikipedia.org/wiki/Pato,"The country is famous for its pink house, the presidential palace known as Casa Rosada, which is painted pink as a symbol of political compromise.",https://en.wikipedia.org/wiki/Casa_Rosada,"It is the origin of the tango dance and music, which has become a symbol of passion and romance worldwide.",https://en.wikipedia.org/wiki/Tango,"The country has a unique tradition of eating gnocchi on the 29th of each month, known as 'Ñoquis del 29'.",https://en.wikipedia.org/wiki/Gnocchi#Argentina,"It is home to the world's largest dinosaur, the Argentinosaurus, which was discovered in the region of Patagonia.",https://en.wikipedia.org/wiki/Argentinosaurus
Armenia,Asia,Yerevan,ARM,The apricot is considered a national symbol and is even featured on the country's coat of arms.,https://en.wikipedia.org/wiki/Coat_of_arms_of_Armenia,"The world's oldest known leather shoe, dating back to around 3500 BC, was discovered in a cave in the country.",https://en.wikipedia.org/wiki/Areni-1_shoe,"Chess is a mandatory subject in schools, and students are required to take chess classes.",https://en.wikipedia.org/wiki/Chess_in_Armenia,"The country is home to the world's oldest winery, dating back to around 4100 BC.",https://en.wikipedia.org/wiki/Areni-1_winery,"The duduk, a traditional woodwind instrument, is recognized by UNESCO as a Masterpiece of the Intangible Heritage of Humanity.",https://en.wikipedia.org/wiki/Duduk,"The country has its own alphabet, created in 405 AD by Mesrop Mashtots.",https://en.wikipedia.org/wiki/Armenian_alphabet,"The country is known for its khachkars, which are intricately carved memorial steles bearing a cross.",https://en.wikipedia.org/wiki/Khachkar,The country claims to be the first to officially adopt Christianity as its state religion in 301 AD.,https://en.wikipedia.org/wiki/History_of_Armenia,"The country is home to the world's largest Yazidi temple, Quba Mere Diwane.",https://en.wikipedia.org/wiki/Quba_Mere_Diwane,"The country has a tradition of lavash bread, which is baked in a tonir, a clay oven, and is recognized by UNESCO.",https://en.wikipedia.org/wiki/Lavash
Australia,Australia,Canberra,AUS,"The world's longest fence, originally built to keep dingoes away from fertile land, stretches over 5,600 kilometers.",https://en.wikipedia.org/wiki/Dingo_Fence,The emu war of 1932 was a military operation to curb the population of emus that were destroying crops.,https://en.wikipedia.org/wiki/Emu_War,"The only country that is also a continent, it is home to the world's largest monolith, Uluru.",https://en.wikipedia.org/wiki/Uluru,"The Great Barrier Reef, the world's largest coral reef system, can be seen from space.",https://en.wikipedia.org/wiki/Great_Barrier_Reef,"It has more than 10,000 beaches, more than any other country in the world.",https://en.wikipedia.org/wiki/Beaches_of_Australia,"The platypus, a native animal, is one of the few mammals that lay eggs.",https://en.wikipedia.org/wiki/Platypus,"The country is home to the world's largest cattle station, Anna Creek Station, which is bigger than Israel.",https://en.wikipedia.org/wiki/Anna_Creek_Station,"The country has a pink lake, Lake Hillier, which remains a mystery as to why it is pink.",https://en.wikipedia.org/wiki/Lake_Hillier,"The country is home to the world's longest golf course, the Nullarbor Links, which stretches 1,365 kilometers.",https://en.wikipedia.org/wiki/Nullarbor_Links,The country has a mountain named Mount Disappointment because its explorers found the view from the summit disappointing.,https://en.wikipedia.org/wiki/Mount_Disappointment
Austria,Europe,Vienna,AUT,"The world's largest ice cave, Eisriesenwelt, is located in this country and extends over 42 kilometers.",https://en.wikipedia.org/wiki/Eisriesenwelt,"The Krimml Waterfalls are the highest in this country and among the highest in Europe, with a total height of 380 meters.",https://en.wikipedia.org/wiki/Krimml_Waterfalls,"This country is home to the world's oldest zoo, Tiergarten Schönbrunn, founded in 1752.",https://en.wikipedia.org/wiki/Tiergarten_Sch%C3%B6nbrunn,The Central Cemetery in this country has more graves than the living population of the city it is located in.,https://en.wikipedia.org/wiki/Wiener_Zentralfriedhof,"The world's largest emerald, weighing 2,860 carats, is displayed in the Imperial Treasury of this country.","https://en.wikipedia.org/wiki/Imperial_Treasury,_Vienna","The country is known for its coffee culture, and the tradition of the coffee house is listed as an intangible cultural heritage by UNESCO.",https://en.wikipedia.org/wiki/Viennese_coffee_house,"The country has a village named Fucking, which gained fame for its unusual name.","https://en.wikipedia.org/wiki/Fugging,_Upper_Austria","The country is home to the world's oldest surviving daily newspaper, Wiener Zeitung, first published in 1703.",https://en.wikipedia.org/wiki/Wiener_Zeitung,"The country has a tradition of Krampus parades, where people dress as the mythical creature to scare children during the Christmas season.",https://en.wikipedia.org/wiki/Krampus,"The country has a unique tradition of Perchtenlauf, where people dress as Perchten, mythical creatures, to drive away evil spirits during winter.",https://en.wikipedia.org/wiki/Perchtenlauf
Azerbaijan,Asia,Baku,AZE,"The country is home to the world's first industrially drilled oil well, which was drilled in 1846.",https://en.wikipedia.org/wiki/History_of_the_petroleum_industry_in_Azerbaijan,"The region is known for its mud volcanoes, with nearly half of the world's mud volcanoes located there.",https://en.wikipedia.org/wiki/Mud_volcano,"It has a tradition of hosting the annual International Mugham Festival, celebrating a genre of music that is a UNESCO Intangible Cultural Heritage.",https://en.wikipedia.org/wiki/International_Mugham_Festival,"The region is famous for its ancient petroglyphs at Gobustan, which date back to 10,000 BC.",https://en.wikipedia.org/wiki/Gobustan_National_Park,"The country has a unique tea culture, where tea is often served with jam and lemon, and is a symbol of hospitality.",https://en.wikipedia.org/wiki/Azerbaijani_tea_culture,,,,,,,,,,
Bahamas,N. America,Nassau,BHS,"The national bird is the flamingo, which is known for its vibrant pink color.",https://en.wikipedia.org/wiki/Flamingo,The country is home to the world's third-largest barrier reef.,https://en.wikipedia.org/wiki/Barrier_reef,It is believed that the first landfall of Christopher Columbus in the New World was on an island here.,https://en.wikipedia.org/wiki/Christopher_Columbus,"The islands were once a haven for pirates, including the infamous Blackbeard.",https://en.wikipedia.org/wiki/Blackbeard,The swimming pigs of Exuma are a popular tourist attraction.,https://en.wikipedia.org/wiki/Exuma,"The country has more than 700 islands and 2,400 cays.",https://en.wikipedia.org/wiki/List_of_islands_of_the_Bahamas,"The Andros Island is known for its blue holes, underwater cave systems that attract divers.",https://en.wikipedia.org/wiki/Blue_hole,"The Junkanoo festival is a traditional street parade with music, dance, and costumes.",https://en.wikipedia.org/wiki/Junkanoo,The country is one of the few places where you can find pink sand beaches.,https://en.wikipedia.org/wiki/Pink_sand,The Lucayan National Park is home to one of the longest underwater cave systems in the world.,https://en.wikipedia.org/wiki/Lucayan_National_Park
