Country,Continent,Capital City,Abbreviation,Fact 1,Fact 1 Source,Fact 2,Fact 2 Source,Fact 3,Fact 3 Source,Fact 4,Fact 4 Source,Fact 5,Fact 5 Source,Fact 6,Fact 6 Source,Fact 7,Fact 7 Source,Fact 8,Fact 8 Source,Fact 9,Fact 9 Source,Fact 10,Fact 10 Source,Fact 11,Fact 11 Source,Fact 12,Fact 12 Source,Fact 13,Fact 13 Source,Fact 14,Fact 14 Source,Fact 15,Fact 15 Source,Fact 16,Fact 16 Source,Fact 17,Fact 17 Source,Fact 18,Fact 18 Source,Fact 19,Fact 19 Source,Fact 20,Fact 20 Source,Fact 21,Fact 21 Source,Fact 22,Fact 22 Source,Fact 23,Fact 23 Source,Fact 24,Fact 24 Source,Fact 25,Fact 25 Source,Fact 26,Fact 26 Source,Fact 27,Fact 27 Source,Fact 28,Fact 28 Source,Fact 29,Fact 29 Source,Fact 30,Fact 30 Source,Fact 31,Fact 31 Source,Fact 32,Fact 32 Source,Fact 33,Fact 33 Source,Fact 34,Fact 34 Source,Fact 35,Fact 35 Source,Fact 36,Fact 36 Source,Fact 37,Fact 37 Source,Fact 38,Fact 38 Source,Fact 39,Fact 39 Source,Fact 40,Fact 40 Source,Fact 41,Fact 41 Source,Fact 42,Fact 42 Source,Fact 43,Fact 43 Source,Fact 44,Fact 44 Source,Fact 45,Fact 45 Source,Fact 46,Fact 46 Source,Fact 47,Fact 47 Source,Fact 48,Fact 48 Source,Fact 49,Fact 49 Source,Fact 50,Fact 50 Source
Afghanistan,Asia,Kabul,AFG,"The world's largest Buddhas, known as the Buddhas of Bamiyan, were carved into a cliff in the Bamyan Valley and stood for over 1,500 years before being destroyed in 2001.",https://en.wikipedia.org/wiki/Buddhas_of_Bamiyan,The Wakhan Corridor is a narrow strip of land that extends to China and separates Tajikistan from Pakistan.,https://en.wikipedia.org/wiki/Wakhan_Corridor,"The country is home to the world's oldest known oil paintings, dating back to the 7th century, found in the caves of Bamiyan.",https://en.wikipedia.org/wiki/Bamyan,"The Kuchi people, a nomadic group, have been migrating across the region for centuries, and their lifestyle is recognized as a cultural heritage.",https://en.wikipedia.org/wiki/Kuchi_people,"The Minaret of Jam, a UNESCO World Heritage Site, is a 65-meter tall minaret built in the 12th century and is famous for its intricate brickwork and inscriptions.",https://en.wikipedia.org/wiki/Minaret_of_Jam,"The country has a tradition of Buzkashi, a sport similar to polo but played with a goat carcass, which is considered the national sport.",https://en.wikipedia.org/wiki/Buzkashi,"The region is known for its unique breed of dog, the Afghan Hound, which is one of the oldest dog breeds and known for its distinctive appearance and speed.",https://en.wikipedia.org/wiki/Afghan_Hound,"The country has a rich tradition of poetry, with poets like Rumi and Khushal Khan Khattak being celebrated figures in literature.",https://en.wikipedia.org/wiki/Afghan_poetry,"The region is home to the world's largest opium poppy production, which has been a significant part of its economy and history.",https://en.wikipedia.org/wiki/Opium_production_in_Afghanistan,The Band-e Amir National Park is the country's first national park and is known for its stunning series of six deep blue lakes separated by natural dams.,https://en.wikipedia.org/wiki/Band-e_Amir_National_Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Europe,Tirana,ALB,"The country is home to the ancient city of Butrint, a UNESCO World Heritage Site, which has been inhabited since prehistoric times.",https://en.wikipedia.org/wiki/Butrint,"The national flag features a double-headed eagle, a symbol that dates back to the Byzantine Empire.",https://en.wikipedia.org/wiki/Flag_of_Albania,"The country has a unique tradition of sworn virgins, women who take a vow of chastity and live as men to enjoy the social privileges of men.",https://en.wikipedia.org/wiki/Sworn_virgin,"It is one of the few countries in the world where the majority of the population is Muslim, yet it has no official religion.",https://en.wikipedia.org/wiki/Religion_in_Albania,"The country has a rich tradition of polyphonic singing, which is recognized by UNESCO as an intangible cultural heritage.",https://en.wikipedia.org/wiki/Albanian_iso-polyphony,"The country has more bunkers per square kilometer than any other country in the world, a legacy of its communist past.",https://en.wikipedia.org/wiki/Bunkers_in_Albania,"The country is known for its unique breed of dog, the Illyrian Sheepdog, which is native to the region.",https://en.wikipedia.org/wiki/Illyrian_Sheepdog,"The country has a tradition of hospitality known as 'Besa,' which is a code of honor that requires one to offer protection and hospitality to guests.",https://en.wikipedia.org/wiki/Besa_(Albanian_culture),"The country is home to the Blue Eye, a natural spring that is a popular tourist attraction due to its stunning blue color and clarity.","https://en.wikipedia.org/wiki/Blue_Eye,_Albania","The country has a unique form of social organization known as 'Kanun,' a set of traditional Albanian laws that have been passed down orally for generations.",https://en.wikipedia.org/wiki/Kanun_(Albania),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,Africa,Algiers,DZA,The Sahara Desert covers more than 80% of the country's land area.,https://en.wikipedia.org/wiki/Algeria#Geography,"The country is home to the endangered Saharan silver ant, which is the fastest of the world's 12,000 known ant species.",https://en.wikipedia.org/wiki/Cataglyphis_bombycina,"The Tassili n'Ajjer region contains one of the most important groupings of prehistoric cave art in the world, with over 15,000 drawings and engravings.",https://en.wikipedia.org/wiki/Tassili_n%27Ajjer,The national football team won the Africa Cup of Nations in 1990 and 2019.,https://en.wikipedia.org/wiki/Algeria_national_football_team,The country has the largest number of French speakers in the world after France.,https://en.wikipedia.org/wiki/Algeria#Languages,"The Ahaggar Mountains, also known as the Hoggar, are a highland region in the central part of the country, known for their unique geological formations.",https://en.wikipedia.org/wiki/Hoggar_Mountains,"The Casbah of Algiers is a UNESCO World Heritage Site, known for its traditional Islamic architecture and labyrinthine streets.",https://en.wikipedia.org/wiki/Casbah_of_Algiers,The country is the largest in Africa by land area.,https://en.wikipedia.org/wiki/Algeria#Geography,"The national dish, couscous, is a staple food made from semolina wheat and is often served with meat and vegetables.",https://en.wikipedia.org/wiki/Algerian_cuisine,"The country has a rich history of Berber dynasties, including the Numidian Kingdom, which was a major power in North Africa before the Roman Empire.",https://en.wikipedia.org/wiki/Numidia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,Africa,Luanda,AGO,"The Giant Sable Antelope, a rare and majestic animal, is found only in this country and was once thought to be extinct.",https://en.wikipedia.org/wiki/Giant_sable_antelope,"This country is home to the Welwitschia plant, which can live for over 1,000 years and is considered a living fossil.",https://en.wikipedia.org/wiki/Welwitschia,"The country has a unique sport called 'Olufuko,' a traditional initiation ritual that includes a festival with various cultural activities.",https://en.wikipedia.org/wiki/Olufuko,"The country has one of the world's largest waterfalls, the Kalandula Falls, which is 105 meters high and 400 meters wide.",https://en.wikipedia.org/wiki/Kalandula_Falls,"The country is known for its traditional music and dance style called 'Kizomba,' which has gained international popularity.",https://en.wikipedia.org/wiki/Kizomba,"The country has a desert called the Namib Desert, which is one of the oldest deserts in the world, estimated to be around 55 million years old.",https://en.wikipedia.org/wiki/Namib_Desert,"The country has a unique rock formation known as the Pedras Negras de Pungo Andongo, which are massive black rocks with mysterious origins.",https://en.wikipedia.org/wiki/Pedras_Negras_de_Pungo_Andongo,"The country is home to the Cuito Cuanavale, a site of a major battle that was a turning point in the South African Border War and the Angolan Civil War.",https://en.wikipedia.org/wiki/Battle_of_Cuito_Cuanavale,"The country has a rich tradition of storytelling and oral literature, with tales often featuring animals and mythical creatures.",https://en.wikipedia.org/wiki/Angolan_literature,"The country has a unique type of tree called the Imbondeiro, or Baobab, which is known for its enormous trunk and longevity.",https://en.wikipedia.org/wiki/Adansonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,S. America,Buenos Aires,ARG,The world's first animated feature film was made in 1917 by Quirino Cristiani.,https://en.wikipedia.org/wiki/Quirino_Cristiani,"The country is home to the southernmost city in the world, Ushuaia.",https://en.wikipedia.org/wiki/Ushuaia,It is the birthplace of the first child to be born on the continent of Antarctica.,https://en.wikipedia.org/wiki/Emilio_Palmas,The country has the highest number of psychiatrists per capita in the world.,https://en.wikipedia.org/wiki/Healthcare_in_Argentina,It is the only country in Latin America to have hosted a Formula One race every decade since the 1950s.,https://en.wikipedia.org/wiki/Argentine_Grand_Prix,"The country is home to the world's widest avenue, Avenida 9 de Julio.",https://en.wikipedia.org/wiki/Avenida_9_de_Julio,"It has the world's largest dinosaur, Argentinosaurus, discovered in its territory.",https://en.wikipedia.org/wiki/Argentinosaurus,The country has the highest consumption of beef per capita in the world.,https://en.wikipedia.org/wiki/Argentine_beef,It is the birthplace of the tango dance and music.,https://en.wikipedia.org/wiki/Tango,"The country has the world's southernmost railway, the Southern Fuegian Railway.",https://en.wikipedia.org/wiki/Southern_Fuegian_Railway,It is home to the world's first radio broadcast in 1920.,https://en.wikipedia.org/wiki/Radio_in_Argentina,The country has the largest Jewish population in Latin America.,https://en.wikipedia.org/wiki/History_of_the_Jews_in_Argentina,It is the first country in Latin America to legalize same-sex marriage.,https://en.wikipedia.org/wiki/Same-sex_marriage_in_Argentina,"The country is home to the world's highest vineyard, located in the Andes.",https://en.wikipedia.org/wiki/Argentine_wine,"It has the world's largest waterfall system, Iguazu Falls.",https://en.wikipedia.org/wiki/Iguazu_Falls,The country is the birthplace of Che Guevara.,https://en.wikipedia.org/wiki/Che_Guevara,"It is home to the world's largest rodent, the capybara.",https://en.wikipedia.org/wiki/Capybara,The country has the world's largest Spanish-speaking population outside of Spain.,https://en.wikipedia.org/wiki/Demographics_of_Argentina,It is the first country to use fingerprinting as a method of identification.,https://en.wikipedia.org/wiki/Juan_Vucetich,"The country is home to the world's largest dinosaur fossil, Patagotitan mayorum.",https://en.wikipedia.org/wiki/Patagotitan,"It has the world's southernmost ski resort, Cerro Castor.",https://en.wikipedia.org/wiki/Cerro_Castor,"The country is the birthplace of the first animated film with sound, Peludópolis.",https://en.wikipedia.org/wiki/Pelud%C3%B3polis,"It is home to the world's largest bird, the Andean condor.",https://en.wikipedia.org/wiki/Andean_condor,"The country has the world's largest avenue of jacaranda trees, Avenida Figueroa Alcorta.",https://en.wikipedia.org/wiki/Jacaranda,"It is the birthplace of the first Latin American pope, Pope Francis.",https://en.wikipedia.org/wiki/Pope_Francis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,Asia,Yerevan,ARM,"The world's oldest known leather shoe, dating back to around 3500 BC, was discovered in a cave in this country.",https://en.wikipedia.org/wiki/Areni-1_shoe,"The apricot is considered a national symbol, and the fruit is believed to have originated in this country.",https://en.wikipedia.org/wiki/Apricot,"The first church in the world built by state order is located here, known as the Etchmiadzin Cathedral.",https://en.wikipedia.org/wiki/Etchmiadzin_Cathedral,"This country is home to the world's longest non-stop double track cable car, the Wings of Tatev.",https://en.wikipedia.org/wiki/Wings_of_Tatev,"Chess is a compulsory subject in schools, and students are required to take chess classes.",https://en.wikipedia.org/wiki/Chess_in_Armenia,"The duduk, a traditional woodwind instrument from this country, is recognized by UNESCO as a Masterpiece of the Intangible Heritage of Humanity.",https://en.wikipedia.org/wiki/Duduk,"This country has its own unique alphabet, created in 405 AD by Mesrop Mashtots.",https://en.wikipedia.org/wiki/Armenian_alphabet,"The country is home to the world's oldest known winery, dating back to around 4100 BC.",https://en.wikipedia.org/wiki/Areni-1_winery,"The national bread, lavash, is so significant that it is inscribed in UNESCO's Representative List of the Intangible Cultural Heritage of Humanity.",https://en.wikipedia.org/wiki/Lavash,"The country has a tradition of khachkars, which are intricately carved memorial stones that are unique to its culture.",https://en.wikipedia.org/wiki/Khachkar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Australia,Canberra,AUS,"The world's longest fence, known as the Dingo Fence, stretches over 5,600 kilometers.",https://en.wikipedia.org/wiki/Dingo_Fence,"The Great Barrier Reef is the largest coral reef system in the world, visible from space.",https://en.wikipedia.org/wiki/Great_Barrier_Reef,"It is home to the world's only egg-laying mammals, the platypus and echidna.",https://en.wikipedia.org/wiki/Monotreme,The Sydney Opera House's design was inspired by orange segments.,https://en.wikipedia.org/wiki/Sydney_Opera_House,"It has over 10,000 beaches, more than any other country.",https://en.wikipedia.org/wiki/Beaches_of_Australia,The Emu War of 1932 was a military operation against emus that ended in failure.,https://en.wikipedia.org/wiki/Emu_War,It is the only country that is also a continent.,https://en.wikipedia.org/wiki/Australia_(continent),"The Box Jellyfish, one of the world's most venomous creatures, is found in its waters.",https://en.wikipedia.org/wiki/Box_jellyfish,It has the world's largest population of wild camels.,https://en.wikipedia.org/wiki/Feral_camel,"The national gemstone is the opal, and it produces 95% of the world's supply.",https://en.wikipedia.org/wiki/Opal,"The world's oldest fossil, 3.4 billion years old, was found here.",https://en.wikipedia.org/wiki/Strelley_Pool_Formation,"It has the highest number of reptiles of any country, with over 750 species.",https://en.wikipedia.org/wiki/List_of_reptiles_of_Australia,The Tasmanian Devil has the strongest bite relative to body size of any mammal.,https://en.wikipedia.org/wiki/Tasmanian_devil,"It is home to the world's largest living structure, the Great Barrier Reef.",https://en.wikipedia.org/wiki/Great_Barrier_Reef,The Melbourne Cup horse race is known as 'the race that stops a nation.',https://en.wikipedia.org/wiki/Melbourne_Cup,"It has the world's longest golf course, the Nullarbor Links, which is 1,365 kilometers long.",https://en.wikipedia.org/wiki/Nullarbor_Links,"The native marsupial, the kangaroo, cannot walk backwards.",https://en.wikipedia.org/wiki/Kangaroo,It is the only country to have participated in every modern Olympic Games.,https://en.wikipedia.org/wiki/Australia_at_the_Olympics,"The world's largest sand island, Fraser Island, is located here.",https://en.wikipedia.org/wiki/Fraser_Island,The koala sleeps up to 22 hours a day due to its low-energy diet of eucalyptus leaves.,https://en.wikipedia.org/wiki/Koala,"It has the world's largest cattle station, Anna Creek Station, which is bigger than Israel.",https://en.wikipedia.org/wiki/Anna_Creek_Station,"The native bird, the lyrebird, can mimic almost any sound it hears.",https://en.wikipedia.org/wiki/Lyrebird,"It is home to the world's deadliest spider, the Sydney Funnel-web Spider.",https://en.wikipedia.org/wiki/Sydney_funnel-web_spider,"The didgeridoo, a traditional musical instrument, is over 1,500 years old.",https://en.wikipedia.org/wiki/Didgeridoo,"It has the world's largest population of feral cats, which are a threat to native wildlife.",https://en.wikipedia.org/wiki/Feral_cat,"The native tree, the eucalyptus, is highly flammable and can explode in bushfires.",https://en.wikipedia.org/wiki/Eucalyptus,It is the only country where the majority of mammals are marsupials.,https://en.wikipedia.org/wiki/Marsupial,"The native bird, the emu, is the second-largest bird in the world by height.",https://en.wikipedia.org/wiki/Emu,"It has the world's largest collection of rock art, dating back over 30,000 years.",https://en.wikipedia.org/wiki/Indigenous_Australian_art,"The native animal, the wombat, has cube-shaped poop.",https://en.wikipedia.org/wiki/Wombat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Europe,Vienna,AUT,"The sewing machine was invented by Josef Madersperger, who was born in 1786.",https://en.wikipedia.org/wiki/Josef_Madersperger,"The world's largest ice cave, Eisriesenwelt, is located in the Tennengebirge mountains.",https://en.wikipedia.org/wiki/Eisriesenwelt,"The Krimml Waterfalls are the highest in Europe, with a total height of 380 meters.",https://en.wikipedia.org/wiki/Krimml_Waterfalls,The first postcards were issued in 1869 by the national postal service.,https://en.wikipedia.org/wiki/Postcard#History,"The world's oldest zoo, Tiergarten Schönbrunn, was founded in 1752.",https://en.wikipedia.org/wiki/Tiergarten_Sch%C3%B6nbrunn,"The Central Cemetery is one of the largest cemeteries in the world, with over 3 million interments.",https://en.wikipedia.org/wiki/Wiener_Zentralfriedhof,The Vienna Philharmonic's New Year's Concert is broadcast to over 90 countries worldwide.,https://en.wikipedia.org/wiki/Vienna_New_Year%27s_Concert,"The national flag is one of the oldest in the world, dating back to 1230.",https://en.wikipedia.org/wiki/Flag_of_Austria,"The country is home to the world's largest emerald, weighing 2,860 carats.",https://en.wikipedia.org/wiki/Emerald,"The Pummerin, a bell in St. Stephen's Cathedral, is one of the largest in Europe.","https://en.wikipedia.org/wiki/St._Stephen%27s_Cathedral,_Vienna#Bells","The country has a tradition of Krampus parades, featuring a horned figure who punishes naughty children.",https://en.wikipedia.org/wiki/Krampus,"The country is known for its coffee culture, with the first coffee house opening in 1683.",https://en.wikipedia.org/wiki/Coffeehouse_culture,"The country has a unique tradition of Perchten, pagan spirits that are said to drive away the winter.",https://en.wikipedia.org/wiki/Perchten,"The country is home to the world's oldest surviving daily newspaper, Wiener Zeitung, first published in 1703.",https://en.wikipedia.org/wiki/Wiener_Zeitung,"The country has a tradition of yodeling, a form of singing that involves rapid changes in pitch.",https://en.wikipedia.org/wiki/Yodeling,"The country is famous for its Lipizzaner horses, which are trained in classical dressage at the Spanish Riding School.",https://en.wikipedia.org/wiki/Lipizzan,"The country has a unique form of folk music called Schrammelmusik, which originated in the 19th century.",https://en.wikipedia.org/wiki/Schrammelmusik,"The country is home to the world's largest armory, the Styrian Armoury, with over 32,000 pieces of weaponry.",https://en.wikipedia.org/wiki/Styrian_Armoury,"The country has a tradition of Fasching, a pre-Lenten carnival season with elaborate costumes and parades.",https://en.wikipedia.org/wiki/Fasching,"The country is known for its elaborate Christmas markets, which date back to the Middle Ages.",https://en.wikipedia.org/wiki/Christmas_market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,Asia,Baku,AZE,The world's first industrially drilled oil well was established in 1846 in this country.,https://en.wikipedia.org/wiki/History_of_the_petroleum_industry_in_Azerbaijan,"This country is home to the world's largest KFC, which is located in a historic railway station building.",https://en.wikipedia.org/wiki/KFC#Largest_KFC,"The national dish, plov, is so important that it has over 40 different recipes and is often served at weddings and special occasions.",https://en.wikipedia.org/wiki/Azerbaijani_cuisine#Plov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,N. America,Nassau,BHS,"The national sport is sloop sailing, and it hosts one of the world's largest regattas.",https://en.wikipedia.org/wiki/Sport_in_the_Bahamas#Sailing,It is home to the world's third-largest barrier reef.,"https://en.wikipedia.org/wiki/Andros,_Bahamas#Geography","The country has more than 700 islands and 2,400 cays.",https://en.wikipedia.org/wiki/The_Bahamas#Geography,It is one of only two countries in the world whose official name begins with 'The'.,https://en.wikipedia.org/wiki/The_Bahamas#Etymology,The currency is pegged to the US dollar on a one-to-one basis.,https://en.wikipedia.org/wiki/Bahamian_dollar,"The country is known for its 'Blue Holes', underwater cave systems that are popular with divers.",https://en.wikipedia.org/wiki/Blue_Holes,"It has the world's deepest blue hole, Dean's Blue Hole, which is 202 meters deep.",https://en.wikipedia.org/wiki/Dean%27s_Blue_Hole,"The country is a popular location for Hollywood films, including several James Bond movies.",https://en.wikipedia.org/wiki/The_Bahamas#Culture,It is one of the few countries where the national flag features a black triangle.,https://en.wikipedia.org/wiki/Flag_of_the_Bahamas,"The country has a unique tradition of 'Junkanoo', a street parade with music, dance, and costumes.",https://en.wikipedia.org/wiki/Junkanoo,It is home to the world's largest colony of pink flamingos.,https://en.wikipedia.org/wiki/Inagua#Wildlife,The country has a national park that is home to the endangered Bahama Parrot.,https://en.wikipedia.org/wiki/Abaco_National_Park,It is one of the few countries where the Queen of England is still the head of state.,https://en.wikipedia.org/wiki/Monarchy_of_the_Bahamas,The country has a unique legal system that combines British common law and local statutes.,https://en.wikipedia.org/wiki/Law_of_the_Bahamas,It is one of the few countries where the highest point is only 63 meters above sea level.,https://en.wikipedia.org/wiki/Geography_of_the_Bahamas#Topography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
